year,branch_code,visits,registrations,circulation,sessions
2014,SW,17575,81,44895,2488
2014,SWS,254470,1415,425361,137354
2014,TA,36263,453,133291,14925
2014,TH,194913,1612,204845,89775
2014,TOD,25938,197,56161,6225
2014,TRL,1247697,11308,386528,776844
2014,VV,37750,394,104944,14638
2014,WE,94875,809,137135,40363
2014,WP,37725,495,79759,19200
2014,WS,439963,2149,457886,104775
2014,WY,105900,943,208312,37747
2014,YO,177013,1011,324428,32850
2014,YW,225983,2874,290231,185228
2015,AB,194587,4272,353764,142187
2015,ACD,277118,1448,380452,145984
2015,AD,101250,519,169022,16700
2015,AG,397421,2919,843672,158536
2015,AH,67038,545,198247,11013
2015,AN,117375,915,221150,34038
2015,AP,51313,709,120983,16300
2015,BB,75938,753,179265,19700
2015,BC,89425,1109,109587,24413
2015,BD,65550,707,147119,21100
2015,BE,185450,1546,356357,48525
2015,BF,264647,2119,583455,131127
2015,BKONE,18900,139,51277,NA
2015,BL,362150,3111,446446,179859
2015,BR,232857,1725,411129,84937
2015,BRW,380100,1729,449199,41463
2015,BUR,99100,766,178652,28463
2015,CC,79300,659,173302,18638
2015,CE,118613,1756,291551,27188
2015,CED,352780,3824,522254,243984
2015,CH,197250,1934,342516,29788
2015,CL,1538044,13064,1571479,477283
2015,CS,123950,949,194055,21188
2015,DA,158113,1080,296571,37125
2015,DM,267097,2152,627900,86525
2015,DO,174447,1669,224968,109770
2015,DP,247425,1790,421451,60138
2015,DR,114925,1305,205651,43475
2015,DT,39975,242,126743,6688
2015,DU,105000,814,151261,54700
2015,EA,226512,2693,517719,46633
2015,EB,45000,398,158219,6850
2015,EG,52900,524,81207,34325
2015,EN,171555,1854,374989,19505
2015,ES,202550,1398,249279,37650
2015,FH,101125,1004,198480,21600
2015,FO,180200,3732,219431,49513
2015,FP,191338,1058,148828,50388
2015,FV,426072,5792,805825,232297
2015,GE,94525,511,183970,25863
2015,GHP,179312,777,264751,49572
2015,GW,45763,389,121419,12600
2015,HB,51825,552,172226,8725
2015,HC,69713,702,179144,21838
2015,HIL,108500,763,340458,31550
2015,HP,185788,1200,327969,43475
2015,HS,46888,457,73816,27700
2015,HW,109813,510,82685,21575
2015,JD,150800,1202,274077,64375
2015,JO,75850,659,177360,25888
2015,JS,103250,1065,120388,48325
2015,KE,110675,1391,188001,37925
2015,LB,53775,663,142842,25550
2015,LE,147050,1135,365509,25913
2015,LO,169263,1526,336679,42075
2015,LS,317780,3219,392895,176522
2015,MA,116263,894,256372,35975
2015,MAL,362833,2219,404133,170307
2015,MAS,205793,1790,248394,135937
2015,MCG,125177,1287,217638,42142
2015,MD,80588,728,111864,55913
2015,ME,8113,1,NA,NA
2015,MI,94488,846,185421,21475
2015,MP,62863,546,152476,6138
2015,MRV,167575,1181,224525,32938
2015,MS,91163,1005,183685,42363
2015,ND,306319,2466,453583,112235
2015,NE,35163,354,83841,11325
2015,NT,73324,517,129918,22853
2015,OS,4813,NA,43,NA
2015,OV,72713,509,132719,37863
2015,PA,229683,1449,425823,75404
2015,PE,34938,245,91381,8113
2015,PK,430586,1960,385299,127130
2015,PL,245031,1564,240075,68269
2015,PM,93588,813,215454,18800
2015,PU,107850,843,227324,16450
2015,PV,74638,482,211842,22488
2015,QS,58850,437,122194,11100
2015,RD,198713,881,281348,73775
2015,RI,422923,2841,623078,113426
2015,RN,473488,1833,462269,65663
2015,RX,53825,400,82560,20063
2015,SA,250775,1073,235400,67425
2015,SB,15550,107,44305,475
2015,SC,83038,2242,149189,27325
2015,SI,29788,284,58560,13925
2015,SJ,177063,1427,258692,57375
2015,SL,103806,1278,192194,22051
2015,SP,88788,737,180851,14813
2015,ST,161988,1052,267333,34800
2015,SW,17988,85,46684,2600
2015,SWS,244873,1239,415562,138960
2015,TA,41388,421,127191,18588
2015,TH,189550,1507,192845,79150
2015,TOD,28400,170,59787,5438
2015,TRL,1310779,11617,412943,901258
2015,VV,32275,465,106014,12950
2015,WE,89225,979,135560,46263
2015,WP,41450,426,77281,21425
2015,WS,405225,2005,412778,106963
2015,WY,116525,1032,235971,37263
2015,YO,157850,1012,319571,32313
2015,YW,220492,2452,246340,193860
2016,AB,208251,4474,300607,140606
2016,ACD,310244,1592,360510,149712
2016,AD,99865,526,164877,16338
2016,AG,313157,2318,712014,103406
2016,AH,67355,567,193515,10988
2016,AN,114135,1058,223409,29238
2016,AP,56483,796,106771,16563
2016,BB,71442,770,166907,19713
2016,BC,107969,1082,103621,21763
2016,BD,57910,686,141482,18088
2016,BE,187288,1634,332412,45825
2016,BF,234632,2022,546283,121863
2016,BKONE,18828,79,45472,NA
2016,BL,364124,3076,410988,168193
2016,BR,248601,1950,420952,84596
2016,BRW,423004,1965,420243,40138
2016,BUR,92664,802,155738,24950
2016,CC,69148,789,164321,19413
2016,CE,124345,1614,276142,28213
2016,CED,363118,3861,485383,249984
2016,CH,198786,2655,337178,30938
2016,CL,1347718,12204,1322318,433079
2016,CS,103681,1037,190775,21813
2016,DA,173523,1078,302772,37150
2016,DM,258252,2062,619014,88066
2016,DO,206115,1549,210675,113701
2016,DP,281764,1798,413421,59513
2016,DR,100748,1269,197789,46688
2016,DT,35844,280,125999,6113
2016,DU,104307,834,145940,51225
2016,EA,239521,2849,508926,45770
2016,EB,47231,411,149823,7325
2016,EG,47549,548,79388,30325
2016,EN,175117,1924,413869,23800
2016,ES,106859,719,127466,18675
2016,FH,108116,866,200010,20350
2016,FO,179705,3485,222008,48088
2016,FP,176366,1065,140186,49910
2016,FV,518674,5805,751914,224402
2016,GE,98279,634,187874,23825
2016,GHP,178752,818,249112,45802
2016,GW,59634,357,119074,12000
2016,HB,45753,691,174152,8825
2016,HC,63785,645,165053,19238
2016,HIL,119386,777,316962,29013
2016,HP,204908,1275,332131,39725
2016,HS,58365,449,69845,21488
2016,HW,138709,611,71346,18000
2016,JD,158532,1211,278761,64400
2016,JO,82480,793,181351,23288
2016,JS,94976,1042,104672,47725
2016,KE,87203,1337,172424,36150
2016,LB,57181,763,143304,24788
2016,LE,157136,1185,366723,24488
2016,LO,188439,1503,339256,47125
2016,LS,331193,3222,387051,165859
2016,MA,113091,960,263340,35813
2016,MAL,348081,2404,374677,167069
2016,MAS,231078,1818,230554,142462
2016,MCG,134570,1259,196526,37741
2016,MD,84210,804,106395,55175
2016,ME,10148,NA,2,NA
2016,MI,99232,898,187470,23175
2016,MP,66950,656,161406,6250
2016,MRV,203955,1266,207891,34313
2016,MS,101804,1168,177218,41988
2016,ND,364658,3050,458418,117080
2016,NE,33536,386,80537,11488
2016,NT,59758,624,131787,22585
2016,OS,12416,NA,12,NA
2016,OV,85169,571,123968,37238
2016,PA,236930,1723,419428,74158
2016,PE,46514,290,94035,7863
2016,PK,352888,1909,382060,125610
2016,PL,238566,1540,226487,69344
2016,PM,107896,833,218096,19938
2016,PU,98121,737,222051,16613
2016,PV,78629,561,209857,22363
2016,QS,66399,498,121496,11850
2016,RD,195261,976,265073,70700
2016,RI,296948,2872,635613,107685
2016,RN,287359,1867,465511,63363
2016,RX,51075,462,76880,19550
2016,SA,234299,1169,212780,62700
2016,SB,18673,125,39733,550
2016,SC,175181,2173,179190,52375
2016,SI,30566,306,57530,13838
2016,SJ,174275,1588,253579,56575
2016,SL,115189,1415,221478,23779
2016,SP,86768,720,187784,13988
2016,ST,168942,1004,256926,34700
2016,SW,20580,92,43082,2125
2016,SWS,251375,1269,406483,114635
2016,TA,40691,401,115914,14738
2016,TH,215864,1627,178515,76875
2016,TOD,25246,190,53254,4263
2016,TRL,1462894,13403,420859,917498
2016,VV,42402,541,107811,12638
2016,WE,99950,1027,135040,41188
2016,WP,54098,480,69884,24763
2016,WS,441229,2000,387621,101650
2016,WY,143043,1164,242999,36875
2016,YO,148942,1003,302099,29425
2016,YW,209768,2379,222393,172467
2017,AB,260950,6889,309631,137999
2017,ACD,356374,1625,338066,150308
2017,AD,97083,545,158583,15213
2017,AG,326233,2538,621226,134675
2017,AH,73163,645,202628,11225
2017,AN,126645,1234,250427,37370
2017,AP,25865,485,55198,7439
2017,BB,73732,792,161391,16113
2017,BC,102627,1210,97368,19913
2017,BD,50632,709,123592,18675
2017,BE,213974,1533,314024,40875
2017,BF,248990,2256,527513,132868
2017,BKONE,16034,84,38740,NA
2017,BL,360508,3267,388365,171813
2017,BR,267983,2237,433080,86113
2017,BRW,429296,2045,385501,43341
2017,BUR,84899,735,141431,20938
2017,CC,65757,725,142382,16188
2017,CE,177412,2092,307111,35950
2017,CED,384227,3831,430830,197151
2017,CH,195475,2504,299464,33700
2017,CL,342972,4960,597896,NA
2017,CS,103458,1115,189415,20363
2017,DA,175012,1174,277410,36600
2017,DM,257738,1909,565703,90243
2017,DO,230231,1927,201514,99707
2017,DP,281482,1850,395781,54350
2017,DR,96392,1334,186973,45450
2017,DT,34954,316,119636,6100
2017,DU,103822,808,149156,49488
2017,EA,238477,2754,501624,43683
2017,EB,48985,410,128037,7175
2017,EG,48477,573,67336,25888
2017,EN,226109,2628,455110,29604
2017,ES,131313,1366,123786,24088
2017,FH,117222,951,189387,21500
2017,FO,169371,3661,221413,47162
2017,FP,156265,991,114744,39266
2017,FV,566666,6056,728426,215656
2017,GE,104259,735,177571,24038
2017,GHP,175028,856,226852,39670
2017,GW,62890,348,114626,11088
2017,HB,46188,655,167341,8038
2017,HC,60785,757,155735,19175
2017,HIL,116053,938,309418,27575
2017,HP,203854,1285,317578,41913
2017,HS,24575,289,36120,7225
2017,HW,120153,565,62989,16050
2017,JD,163511,1359,295469,63875
2017,JO,81100,674,167736,21488
2017,JS,87221,1121,85026,39475
2017,KE,92895,1547,155073,39175
2017,LB,50700,579,128538,19427
2017,LE,157550,1274,348572,25313
2017,LO,215365,1849,352148,46140
2017,LS,319555,3198,352547,111803
2017,MA,120433,999,248530,32700
2017,MAL,331665,2516,334069,158550
2017,MAS,234462,1599,211188,121564
2017,MCG,127230,1368,176865,36807
2017,MD,88386,821,108609,53466
2017,ME,13069,NA,14,NA
2017,MI,92721,954,178966,24663
2017,MP,59793,589,155354,5738
2017,MRV,157983,1158,187741,33900
2017,MS,100674,1059,161130,39488
2017,ND,391543,3384,456927,120673
2017,NE,34143,457,76862,10788
2017,NT,59211,597,125383,23478
2017,OS,16250,NA,29,NA
2017,OV,94240,613,117577,33188
2017,PA,233308,1645,386965,59407
2017,PE,53451,376,92619,8425
2017,PK,337974,2129,357701,122844
2017,PL,227666,1680,203705,66423
2017,PM,112115,816,194152,23100
2017,PU,86237,849,203226,12475
2017,PV,79549,569,190453,17593
2017,QS,71094,566,113269,10863
2017,RD,194268,914,238778,71813
2017,RI,252083,2833,539487,82853
2017,RN,151817,1296,281048,38557
2017,RX,50646,427,79110,17963
2017,SA,228745,1247,193422,66513
2017,SB,20808,133,38302,463
2017,SC,193914,2449,179314,63474
2017,SI,24915,287,50583,9487
2017,SJ,169242,1659,223251,58200
2017,SL,118778,1769,215415,23888
2017,SP,85114,743,176028,13775
2017,ST,156659,897,238620,31163
2017,SW,38627,203,68141,5525
2017,SWS,262097,1339,407819,119109
2017,TA,35466,343,94731,13329
2017,TH,197227,1599,168175,71175
2017,TOD,28939,209,51952,4375
2017,TRL,1604864,13511,404937,867212
2017,VV,43446,471,99426,12050
2017,WE,92943,1067,128443,37813
2017,WP,58297,506,67938,23938
2017,WS,402862,2046,340490,97263
2017,WY,133540,1101,232975,36463
2017,YO,152520,1215,286724,29238
2017,YW,200531,2952,199765,157821
2018,AB,327977,7788,328536,111939
2018,ACD,340522,1789,303855,82784
2018,AD,100886,733,155864,12162
2018,AG,368837,3658,623148,112149
2018,AH,73829,859,214013,9753
2018,AN,102239,1349,201476,21239
2018,AP,51242,1045,85101,13010
2018,BB,73308,1233,156836,16333
2018,BC,98278,1688,86179,24989
2018,BD,51489,1055,122497,14323
2018,BE,207052,1810,289818,31292
2018,BF,246900,2884,503402,76409
2018,BKONE,13516,137,34532,NA
2018,BL,369395,3787,369252,128177
2018,BR,257933,2483,418716,57702
2018,BRW,434621,2908,419149,51202
2018,BUR,81913,1056,123742,16232
2018,CC,65876,963,137460,14475
2018,CE,157112,2296,297665,26974
2018,CED,355089,4913,394326,133544
2018,CH,197005,3182,273173,50205
2018,CL,830485,12469,764881,121507
2018,CS,101932,1203,182356,21914
2018,DA,169976,1314,269855,40326
2018,DM,253090,2310,545675,61911
2018,DO,231580,2468,185960,72517
2018,DP,289666,2462,401466,65983
2018,DR,89637,1381,162061,30300
2018,DT,37506,452,131944,4008
2018,DU,111761,1420,169416,42709
2018,EA,232419,3085,463951,41801
2018,EB,45807,476,125978,5700
2018,EG,46693,605,62447,13481
2018,EN,202545,2812,429168,26289
2018,ES,251189,2646,204647,55733
2018,FH,113245,1093,181125,14583
